x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
3825.03 74.999 816.763 0 0 1 2 1.48119e+06 29.1291 136287 2.25049 2.88364e+06 1.48119e+06 ZonesAtSurface
3875.06 74.9981 776.806 0 0 1 2 1.001e+06 44.6111 80673.1 2.73073 3.37562e+06 1.001e+06 ZonesAtSurface
3925.14 74.9975 686.876 0 0 1 3 813526 29.8923 73421.2 1.186 3.84156e+06 813526 ZonesAtSurface
3975.15 74.9941 696.921 0 0 1 2 1.44745e+06 16.1244 144060 1.38432 3.3491e+06 1.44745e+06 ZonesAtSurface
4025.21 74.9927 656.981 0 0 1 2 1.04206e+06 39.5405 51919.9 2.5623 3.16211e+06 1.04206e+06 ZonesAtSurface
4075.22 74.989 667.033 0 0 2 1 1.45148e+06 20.5638 66326.9 1.86972 2.67256e+06 1.45148e+06 ZonesAtSurface
4125.23 74.9823 677.086 0 0 0 0 1.33216e+06 20.5 63205.4 2.07603 2.11401e+06 1.33216e+06 ZonesAtSurface
4175.29 74.9807 637.136 0 0 0 0 927536 41.3389 128328 2.32164 2.54149e+06 927536 ZonesAtSurface
4225.34 74.9806 597.184 0 0 0 0 1.37305e+06 34.8182 66122.4 2.30432 2.81547e+06 1.37305e+06 ZonesAtSurface
4275.39 74.9805 557.233 6 0 0 0 693707 42.0076 114914 1.93131 3.19927e+06 693707 ZonesAtSurface
4325.46 74.9868 467.286 4 0 1 1 693518 36.3316 81758 1.59785 3.36104e+06 693518 ZonesAtSurface
4375.46 74.9867 477.332 8 2 0 0 1.23244e+06 27.4945 54903.1 1.83144 2.70799e+06 1.23244e+06 ZonesAtSurface
4425.51 74.9871 387.372 1 0 2 1 1.01896e+06 15.6648 142899 1.20797 2.74057e+06 1.01896e+06 ZonesAtSurface
4475.54 74.9902 297.421 10 0 1 2 747195 36.5483 74277.4 1.46515 4.73424e+06 747195 ZonesAtSurface
4525.54 74.9917 307.457 0 0 1 1 1.09705e+06 40.5462 103389 2.56606 3.46382e+06 1.09705e+06 ZonesAtSurface
4575.54 74.9917 217.486 0 0 1 2 1.01369e+06 33.4692 112549 1.72862 4.48223e+06 1.01369e+06 ZonesAtSurface
4625.54 74.9911 227.51 0 0 1 1 1.23675e+06 37.949 61079.5 2.31129 3.87434e+06 1.23675e+06 ZonesAtSurface
4675.54 74.9922 237.531 0 0 0 0 1.34116e+06 34.6572 149939 1.78495 3.08139e+06 1.34116e+06 ZonesAtSurface
4725.53 74.9919 197.545 0 0 0 0 839240 39.4136 117939 1.685 3.37794e+06 839240 ZonesAtSurface
4775.45 74.9937 107.555 0 0 1 1 580358 21.3258 95771.3 1.38204 3.0587e+06 580358 ZonesAtSurface
4825.45 74.9957 117.569 10 0 0 0 1.07875e+06 42.5221 76410.5 1.66265 4.34684e+06 1.07875e+06 ZonesAtSurface
4875.21 74.992 -22.4745 8 0 1 2 676601 37.1101 78759.3 1.39927 1.38189e+07 676601 ZonesAtSurface
4925.14 74.9969 -12.4551 21 0 1 1 1.19688e+06 22.7395 110169 1.1323 1.19572e+07 1.19688e+06 ZonesAtSurface
74.9061 124.995 -33.9075 56 0 1 1 876364 22.6194 94947.7 1.12954 6.4937e+06 876364 ZonesAtSurface
124.825 124.993 -8.88337 61 23 1 1 927980 35.0697 126023 1.67748 2.27979e+06 927980 ZonesAtSurface
174.756 124.992 -33.9203 32 0 1 2 1.0622e+06 44.1728 71333.6 1.1559 9.50519e+06 1.0622e+06 ZonesAtSurface
224.691 124.992 -8.89807 46 16 1 2 1.2118e+06 34.0178 125066 1.47786 3.49629e+06 1.2118e+06 ZonesAtSurface
274.63 124.989 -33.9499 22 0 1 3 1.43832e+06 35.7096 68734.4 1.13857 1.17137e+07 1.43832e+06 ZonesAtSurface
324.565 124.991 -8.94995 21 0 1 3 840994 30.6152 100122 1.02674 6.44443e+06 840994 ZonesAtSurface
374.558 124.988 -33.9766 0 0 1 4 1.37088e+06 30.071 145384 1.5518 8.70828e+06 1.37088e+06 ZonesAtSurface
424.47 124.99 41.0275 8 0 1 3 931414 30.2062 54058.9 1.04028 5.8896e+06 931414 ZonesAtSurface
474.384 124.98 216.019 0 8 0 0 1.26027e+06 28.6136 100162 7.13525 624828 1.26027e+06 ZonesAtSurface
524.386 124.982 241.012 0 6 0 0 734155 29.7364 78275.6 1.6305 1.55003e+06 734155 ZonesAtSurface
574.386 124.982 265.998 0 0 0 0 558231 40.4976 74322.3 2.59909 1.67449e+06 558231 ZonesAtSurface
624.388 124.982 290.981 0 0 0 0 1.35613e+06 39.1573 112660 4.71747 1.54137e+06 1.35613e+06 ZonesAtSurface
674.392 124.981 315.963 0 0 0 0 1.46965e+06 30.884 59669.5 4.2925 1.43175e+06 1.46965e+06 ZonesAtSurface
724.399 124.98 340.944 0 0 0 0 568067 41.6401 61828.2 3.22182 1.36463e+06 568067 ZonesAtSurface
774.408 124.979 365.922 0 0 0 0 1.47716e+06 33.6459 72883.2 4.92188 1.33165e+06 1.47716e+06 ZonesAtSurface
824.42 124.979 390.899 0 0 0 0 1.47311e+06 16.4011 82567.9 2.94949 1.39743e+06 1.47311e+06 ZonesAtSurface
874.437 124.979 415.873 0 0 0 0 1.08145e+06 30.039 72720.4 3.15148 1.36909e+06 1.08145e+06 ZonesAtSurface
924.456 124.978 440.845 0 3 0 0 1.26475e+06 25.4453 67498.6 3.44654 1.31784e+06 1.26475e+06 ZonesAtSurface
974.476 124.978 465.815 0 10 0 0 1.12261e+06 16.2168 123886 2.31163 1.38422e+06 1.12261e+06 ZonesAtSurface
1024.5 124.978 490.784 0 5 0 0 850280 17.5481 104230 1.75882 1.45751e+06 850280 ZonesAtSurface
1074.53 124.978 515.753 0 0 0 0 1.35906e+06 34.8493 54114.7 4.44009 1.45989e+06 1.35906e+06 ZonesAtSurface
1124.56 124.976 540.719 0 0 0 0 1.012e+06 26.3249 123380 2.57744 1.49165e+06 1.012e+06 ZonesAtSurface
1174.59 124.976 565.683 0 0 0 0 1.47044e+06 36.9357 145538 5.15957 1.43038e+06 1.47044e+06 ZonesAtSurface
1224.63 124.976 590.646 0 0 0 0 1.15216e+06 19.8717 92196.3 2.7929 1.39786e+06 1.15216e+06 ZonesAtSurface
1274.67 124.975 615.609 0 0 0 0 1.38829e+06 36.4078 86016.3 5.41609 1.31096e+06 1.38829e+06 ZonesAtSurface
1324.71 124.975 640.57 0 0 0 0 1.35126e+06 31.3915 72507.2 4.72113 1.25053e+06 1.35126e+06 ZonesAtSurface
1374.75 124.975 665.531 0 0 0 0 825232 30.2177 123010 2.93806 1.25809e+06 825232 ZonesAtSurface
1424.8 124.975 690.492 0 0 0 0 521048 15.5876 99324.4 1.39917 1.21942e+06 521048 ZonesAtSurface
1474.84 124.975 715.454 0 0 0 0 725232 34.8778 78623.9 3.51066 1.12094e+06 725232 ZonesAtSurface
1524.88 124.976 740.417 0 0 0 0 716583 22.5693 104888 2.32577 1.13801e+06 716583 ZonesAtSurface
1574.92 124.978 765.382 0 0 0 0 1.36254e+06 33.7362 58401.5 4.64438 1.25525e+06 1.36254e+06 ZonesAtSurface
1624.95 124.98 790.35 0 4 0 0 871661 44.1185 72254.2 4.86901 1.43729e+06 871661 ZonesAtSurface
1674.95 124.99 765.325 0 0 2 1 1.46389e+06 20.5 123324 1.65821 2.80985e+06 1.46389e+06 ZonesAtSurface
1724.95 125.001 690.328 0 0 1 3 703942 36.6635 81050.1 1.054 4.31928e+06 703942 ZonesAtSurface
1774.99 125.006 715.301 2 0 1 3 1.41098e+06 15.0273 83390.9 1.03079 3.87571e+06 1.41098e+06 ZonesAtSurface
1825.01 125.009 790.257 10 2 1 2 1.07129e+06 16.7836 109874 1.07142 2.70432e+06 1.07129e+06 ZonesAtSurface
1875.04 125.009 765.255 0 0 1 3 1.27151e+06 43.1425 90912.7 1.30981 4.6249e+06 1.27151e+06 ZonesAtSurface
1924.99 125.004 890.239 0 0 2 1 1.44629e+06 32.6267 131068 3.77271 1.80431e+06 1.44629e+06 ZonesAtSurface
1974.94 124.999 965.267 0 10 0 0 995899 26.3523 99226.1 3.38588 930207 995899 ZonesAtSurface
2025.18 125.002 727.872 9 0 1 4 981200 33.9606 136824 1.11882 3.93588e+06 981200 ZonesAtSurface
2075.39 125.002 528.094 6 0 1 6 1.11359e+06 22.3258 77475.3 1.06371 3.86738e+06 1.11359e+06 ZonesAtSurface
2125.47 124.997 428.234 6 0 1 6 850914 41.567 106166 1.05129 5.7324e+06 850914 ZonesAtSurface
2175.5 124.993 328.349 3 0 1 6 656999 26.6249 53004.8 1.02735 4.01318e+06 656999 ZonesAtSurface
2225.49 124.991 228.443 6 0 1 6 1.39044e+06 40.4331 106352 1.05152 7.40346e+06 1.39044e+06 ZonesAtSurface
2275.42 124.99 128.51 6 0 1 6 1.02358e+06 32.1258 102291 1.0911 7.72183e+06 1.02358e+06 ZonesAtSurface
2325.33 124.988 28.5366 0 0 1 6 508462 39.9066 64332.8 2.31716 7.83359e+06 508462 ZonesAtSurface
2375.27 124.985 -21.4616 9 0 1 5 1.26252e+06 22.4849 61605.7 1.39858 7.52103e+06 1.26252e+06 ZonesAtSurface
2425.24 124.985 -21.4477 31 0 1 3 650914 20.8386 77075 1.89808 2.87632e+06 650914 ZonesAtSurface
2475.17 124.99 -21.4339 26 0 1 1 1.20176e+06 35.6243 98802.5 3.02938 5.19653e+06 1.20176e+06 ZonesAtSurface
2525.02 125.002 -1.3504 64 17 0 0 875840 37.2872 90506.9 1.45399 2.83793e+06 875840 ZonesAtSurface
2574.96 124.996 -11.37 51 0 1 1 1.36784e+06 36.3883 95841 1.74744 4.69925e+06 1.36784e+06 ZonesAtSurface
2624.87 124.989 -21.402 31 0 1 2 621703 41.1135 105420 1.08272 1.26902e+07 621703 ZonesAtSurface
2674.75 124.989 18.6117 3 0 1 2 1.21371e+06 15.8472 127090 1.11444 5.72994e+06 1.21371e+06 ZonesAtSurface
2724.58 124.989 108.616 6 7 2 1 1.37389e+06 43.0889 95843.2 1.3323 4.73534e+06 1.37389e+06 ZonesAtSurface
2774.54 124.989 148.604 0 0 1 1 1.10583e+06 30.5713 82722.1 1.37409 4.4303e+06 1.10583e+06 ZonesAtSurface
2824.5 124.986 238.579 10 0 0 0 841867 20.0856 135822 1.26721 2.18958e+06 841867 ZonesAtSurface
2874.5 124.984 278.553 5 0 0 0 551694 37.3203 64536.2 1.28112 1.90121e+06 551694 ZonesAtSurface
2924.51 124.984 318.529 0 0 0 0 1.41559e+06 42.3689 149414 3.97189 2.10711e+06 1.41559e+06 ZonesAtSurface
2974.51 124.985 308.499 0 0 2 1 1.19739e+06 27.6486 82441.8 1.78357 3.10982e+06 1.19739e+06 ZonesAtSurface
3024.53 124.982 398.464 0 0 0 0 1.45295e+06 43.8691 116606 3.82438 2.08621e+06 1.45295e+06 ZonesAtSurface
3074.53 124.983 388.427 2 0 1 1 686863 24.2527 75315.6 1.3122 2.48101e+06 686863 ZonesAtSurface
3124.55 124.983 428.386 1 0 2 1 734517 38.5278 93949 1.75441 2.50546e+06 734517 ZonesAtSurface
3174.58 124.983 468.341 3 0 1 1 1.00504e+06 42.6226 135203 2.44419 2.96913e+06 1.00504e+06 ZonesAtSurface
3224.59 124.983 458.297 0 0 1 2 1.30249e+06 24.9256 53494 1.33298 4.01176e+06 1.30249e+06 ZonesAtSurface
3274.65 124.979 548.248 1 9 1 1 1.49804e+06 28.9701 149569 1.80941 3.12386e+06 1.49804e+06 ZonesAtSurface
3324.63 124.986 488.205 4 0 1 3 804785 32.6733 103829 1.04164 4.56499e+06 804785 ZonesAtSurface
3374.7 124.985 578.132 0 0 1 2 1.42043e+06 21.9869 81377.8 1.33458 4.27036e+06 1.42043e+06 ZonesAtSurface
