x y z ERate TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
2225.46 124.972 528.349 0 0 0 0 100000 5 10000 0 229577 100000 ZonesAtSurface
2275.55 124.972 428.411 0 0 0 0 949374 15.6748 99549.4 1.08265 2.31e+06 949374 ZonesAtSurface
2325.61 124.971 328.461 0 0 0 0 1.00529e+06 16.0489 86413 1.03033 2.59758e+06 1.00529e+06 ZonesAtSurface
2375.62 124.971 228.504 0 0 0 0 1.3011e+06 35.5574 131686 1.15746 4.45622e+06 1.3011e+06 ZonesAtSurface
2425.56 124.978 128.615 0 0 0 0 955345 44.976 57924.9 1.04389 4.32694e+06 955345 ZonesAtSurface
2475.31 125 28.7048 0 0 0 0 1.48117e+06 27.3056 110470 1.47868 6.72491e+06 1.48117e+06 ZonesAtSurface
2525.03 125.008 -1.24199 0 0 0 0 847389 42.2149 51752.2 1.48355 1.00803e+07 847389 ZonesAtSurface
2574.82 124.996 38.7401 0 0 0 0 548325 34.8051 93452.9 1.70648 1.71839e+06 548325 ZonesAtSurface
2624.67 124.988 78.6585 0 0 0 0 769030 29.1014 82475.4 1.84374 2.0407e+06 769030 ZonesAtSurface
2674.58 124.984 118.645 0 0 0 0 640481 44.6614 62493.8 1.682 2.64518e+06 640481 ZonesAtSurface
2724.52 124.985 158.635 0 0 0 0 1.38809e+06 40.1846 121291 1.31188 4.83815e+06 1.38809e+06 ZonesAtSurface
2774.47 124.991 198.628 0 0 0 0 507048 36.287 97584 1.47443 2.04389e+06 507048 ZonesAtSurface
2824.45 124.989 238.592 0 0 0 0 100000 5 10000 1.74962 183510 100000 ZonesAtSurface
2874.46 124.983 278.544 0 0 0 0 520312 38.2905 149168 1.86026 1.45001e+06 520312 ZonesAtSurface
2924.47 124.982 318.516 0 0 0 0 1.19473e+06 36.5886 139884 2.63753 2.15853e+06 1.19473e+06 ZonesAtSurface
2974.49 124.981 358.488 0 0 0 0 500123 16.1851 103075 1.00806 1.67912e+06 500123 ZonesAtSurface
3024.51 124.979 398.457 0 0 0 0 1.30998e+06 28.8325 145517 2.2481 2.18675e+06 1.30998e+06 ZonesAtSurface
3074.52 124.981 438.426 0 0 0 0 1.4644e+06 44.116 105500 3.92344 1.82095e+06 1.4644e+06 ZonesAtSurface
3124.54 124.982 478.387 0 0 0 0 100000 5 10000 1.14566 337074 100000 ZonesAtSurface
3174.58 124.978 518.339 0 0 0 0 927649 23.5988 127640 1.25447 2.52118e+06 927649 ZonesAtSurface
3224.62 124.975 558.291 0 0 0 0 623587 25.2951 99753.3 1.0202 1.92661e+06 623587 ZonesAtSurface
3274.66 124.975 598.244 0 0 0 0 621034 44.9619 123770 1.65973 2.42108e+06 621034 ZonesAtSurface
3324.71 124.975 638.198 0 0 0 0 1.49728e+06 17.2117 100148 1.73203 2.52371e+06 1.49728e+06 ZonesAtSurface
3374.76 124.976 678.154 0 0 0 0 1.19086e+06 27.4412 78558.9 1.94262 2.28979e+06 1.19086e+06 ZonesAtSurface
3424.81 124.979 718.107 0 0 0 0 820756 44.9801 126090 1.42879 2.68426e+06 820756 ZonesAtSurface
3474.86 124.982 758.056 0 0 0 0 100000 5 10000 1.0111 420196 100000 ZonesAtSurface
3524.91 124.982 798.001 0 0 0 0 848821 22.411 59231.9 1.16989 2.2318e+06 848821 ZonesAtSurface
3574.96 124.983 837.953 0 0 0 0 1.16546e+06 24.4329 83466.7 2.14447 1.79304e+06 1.16546e+06 ZonesAtSurface
3624.99 124.986 877.916 0 0 0 0 651865 30.1524 117061 1.75268 1.59877e+06 651865 ZonesAtSurface
3675 124.988 917.893 0 0 0 0 864399 19.0957 98137.2 2.14002 1.24992e+06 864399 ZonesAtSurface
3725 124.989 957.885 0 0 0 0 1.26608e+06 39.2468 143034 7.05882 906614 1.26608e+06 ZonesAtSurface
