x y z ERate TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
2824.54 124.989 138.59 0 0 1 2 1.03551e+06 39.0344 76525.8 0 7.76334e+06 1.03551e+06 ZonesAtSurface
2874.46 124.986 228.549 0 0 1 1 534434 38.4333 139411 0 3.50489e+06 534434 ZonesAtSurface
2924.48 124.981 318.515 0 0 0 0 1.19473e+06 36.5886 139884 0 2.27905e+06 1.19473e+06 ZonesAtSurface
2974.48 124.985 308.489 0 0 1 1 1.20945e+06 36.3172 81387.5 0 3.06404e+06 1.20945e+06 ZonesAtSurface
3024.51 124.984 398.458 0 10 0 0 1.30998e+06 28.8325 145517 0 1.62316e+06 1.30998e+06 ZonesAtSurface
3074.5 124.986 338.431 0 0 1 2 746742 22.1896 91373.5 0 3.33033e+06 746742 ZonesAtSurface
3124.51 124.988 328.402 1 0 1 3 591285 27.5028 54222.6 0 4.53016e+06 591285 ZonesAtSurface
3174.52 124.988 368.36 1 0 1 3 978652 23.0901 71344.4 0 4.75932e+06 978652 ZonesAtSurface
3224.58 124.981 508.285 0 0 1 1 785810 24.9813 84547 0 2.47723e+06 785810 ZonesAtSurface
3274.63 124.982 548.231 1 0 1 1 692520 42.0576 118431 0 2.97274e+06 692520 ZonesAtSurface
3324.67 124.983 588.181 0 0 2 1 1.24051e+06 15.316 79827 0 2.76139e+06 1.24051e+06 ZonesAtSurface
3374.72 124.984 628.132 0 0 2 1 705376 37.7909 75803.4 0 2.17341e+06 705376 ZonesAtSurface
3424.77 124.986 668.084 0 6 2 1 1.39097e+06 29.8962 100777 0 2.35154e+06 1.39097e+06 ZonesAtSurface
3474.79 124.991 658.032 0 0 1 2 589112 18.5722 123158 0 2.30252e+06 589112 ZonesAtSurface
3524.84 124.992 697.965 0 0 1 2 872202 39.445 109469 0 4.61328e+06 872202 ZonesAtSurface
3574.96 124.985 837.873 0 10 0 0 1.16546e+06 24.4329 83466.7 0 1.81596e+06 1.16546e+06 ZonesAtSurface
3624.97 124.992 827.821 0 3 1 1 1.37494e+06 41.152 145641 0 3.52368e+06 1.37494e+06 ZonesAtSurface
3674.99 124.993 867.776 0 0 1 1 1.01153e+06 30.0412 82663.1 0 2.75212e+06 1.01153e+06 ZonesAtSurface
3725 124.99 957.751 0 0 0 0 1.26608e+06 39.2468 143034 0 1.3692e+06 1.26608e+06 ZonesAtSurface
3775 124.99 957.748 0 0 0 0 1.44905e+06 17.5909 128938 0 707031 1.44905e+06 ZonesAtSurface
