x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
4175.43 74.9936 337.223 1 0 1 6 712100 22.7958 110376 1.01532 4.8855e+06 712100 ZonesAtSurface
4225.44 74.9987 397.24 0 0 1 4 1.24299e+06 39.2065 139256 2.10508 5.06561e+06 1.24299e+06 ZonesAtSurface
4275.45 74.9978 407.271 0 0 1 3 1.29782e+06 41.2446 90794.9 1.60386 4.19268e+06 1.29782e+06 ZonesAtSurface
4325.49 74.9932 367.314 7 0 1 3 743254 40.2273 120478 1.37279 4.17159e+06 743254 ZonesAtSurface
4375.52 74.992 277.359 0 0 1 4 1.27576e+06 37.2261 140751 2.39011 4.81749e+06 1.27576e+06 ZonesAtSurface
4425.53 74.9962 287.393 0 0 2 3 1.10476e+06 37.4955 106200 1.75268 4.73199e+06 1.10476e+06 ZonesAtSurface
4475.53 74.993 197.431 0 0 1 4 1.41048e+06 39.2865 95236.6 2.79996 5.05789e+06 1.41048e+06 ZonesAtSurface
4525.53 74.9936 207.463 7 0 1 3 658522 28.1797 137172 1.2516 4.5138e+06 658522 ZonesAtSurface
4575.53 74.995 217.489 3 0 1 2 725446 32.2839 59306.4 1.6105 3.66086e+06 725446 ZonesAtSurface
4625.53 74.9951 177.508 0 0 1 2 1.43855e+06 27.2642 113227 1.42267 4.52212e+06 1.43855e+06 ZonesAtSurface
4675.5 74.9971 137.526 1 0 1 2 1.01972e+06 34.6275 117181 1.19146 6.23916e+06 1.01972e+06 ZonesAtSurface
4725.46 74.9998 97.5366 0 0 1 2 541588 40.184 62705 1.14923 6.40678e+06 541588 ZonesAtSurface
4775.34 74.996 7.5255 1 0 1 3 1.12574e+06 33.3876 107677 1.20204 9.93205e+06 1.12574e+06 ZonesAtSurface
4825.31 75.0027 17.5379 1 0 1 2 1.38363e+06 27.835 130322 1.01661 1.0262e+07 1.38363e+06 ZonesAtSurface
4875.2 75 -22.4766 8 0 1 2 1.13836e+06 39.5308 132615 1.30599 1.42847e+07 1.13836e+06 ZonesAtSurface
4925.13 75.0042 -12.4658 16 0 1 1 955514 43.3437 127449 1.62763 1.60552e+07 955514 ZonesAtSurface
74.915 124.999 -33.8881 105 0 1 1 1.02862e+06 22.1944 145726 1.4799 5.14636e+06 1.02862e+06 ZonesAtSurface
124.831 124.993 -8.85878 92 0 1 1 569110 25.6613 89203 1.62647 1.51439e+06 569110 ZonesAtSurface
174.782 124.994 -33.8761 92 0 1 2 864511 43.0839 57585.2 1.28577 6.12701e+06 864511 ZonesAtSurface
224.717 124.992 -8.83433 102 17 1 2 800942 37.1169 121124 1.52349 2.34939e+06 800942 ZonesAtSurface
274.647 124.991 -33.8877 99 0 1 3 711663 30.7788 128356 1.17956 4.54062e+06 711663 ZonesAtSurface
324.589 124.988 -8.87869 77 42 1 3 1.18825e+06 35.5391 118850 2.36344 3.00789e+06 1.18825e+06 ZonesAtSurface
374.554 124.989 -33.9193 52 0 1 4 693207 29.1474 95031.2 1.2565 5.99263e+06 693207 ZonesAtSurface
424.497 124.99 -8.92825 46 0 1 4 1.20839e+06 16.1182 96703.7 1.12751 3.49969e+06 1.20839e+06 ZonesAtSurface
474.479 124.988 -33.9827 2 0 1 5 547121 41.7129 75842.1 1.87897 1.07653e+07 547121 ZonesAtSurface
524.352 124.99 90.9923 5 4 1 3 1.34688e+06 26.073 77803.8 1.21686 3.74336e+06 1.34688e+06 ZonesAtSurface
574.356 124.986 215.978 0 0 2 1 577429 34.9625 59538.7 1.27972 2.35682e+06 577429 ZonesAtSurface
624.378 124.982 290.967 0 0 0 0 685497 44.1063 124311 3.10994 1.47105e+06 685497 ZonesAtSurface
674.389 124.981 315.954 0 0 0 0 667907 44.236 106145 3.0842 1.35646e+06 667907 ZonesAtSurface
724.401 124.979 340.936 0 0 0 0 552936 17.2973 115357 1.35357 1.32278e+06 552936 ZonesAtSurface
774.413 124.979 365.914 0 0 0 0 505069 29.9035 77421.8 1.60429 1.44394e+06 505069 ZonesAtSurface
824.427 124.978 390.888 0 0 0 0 1.15358e+06 28.8797 109907 2.80311 1.54562e+06 1.15358e+06 ZonesAtSurface
874.443 124.978 415.859 0 0 0 0 1.10357e+06 18.7081 68762.8 2.29967 1.48888e+06 1.10357e+06 ZonesAtSurface
924.462 124.977 440.83 0 4 0 0 960929 42.0275 90998.9 4.07867 1.47036e+06 960929 ZonesAtSurface
974.482 124.976 465.799 0 9 0 0 1.07462e+06 41.674 116994 3.74402 1.57198e+06 1.07462e+06 ZonesAtSurface
1024.5 124.976 490.768 5 5 0 0 556415 18.1363 128219 1.18837 1.55376e+06 556415 ZonesAtSurface
1074.53 124.976 515.736 0 0 0 0 1.44537e+06 40.3857 117834 4.71408 1.59546e+06 1.44537e+06 ZonesAtSurface
1124.56 124.976 540.704 0 0 0 0 1.04776e+06 43.9822 52491.5 4.63611 1.52728e+06 1.04776e+06 ZonesAtSurface
1174.6 124.975 565.67 0 0 0 0 516487 36.4166 99982 2.21982 1.46637e+06 516487 ZonesAtSurface
1224.63 124.975 590.633 0 0 0 0 1.01764e+06 40.8044 115457 4.08098 1.45785e+06 1.01764e+06 ZonesAtSurface
1274.67 124.975 615.596 0 0 0 0 615272 42.0159 110297 3.29085 1.37623e+06 615272 ZonesAtSurface
1324.71 124.975 640.56 0 0 0 0 1.27321e+06 15.292 80969.6 3.01875 1.21983e+06 1.27321e+06 ZonesAtSurface
1374.76 124.975 665.524 0 0 0 0 1.46782e+06 36.9246 132999 6.08401 1.17872e+06 1.46782e+06 ZonesAtSurface
1424.8 124.976 690.488 0 0 0 0 740233 20.9611 61708.6 2.31293 1.12791e+06 740233 ZonesAtSurface
1474.84 124.976 715.454 0 0 0 0 722011 39.9904 70745.2 4.22353 1.04501e+06 722011 ZonesAtSurface
1524.88 124.978 740.421 0 0 0 0 918274 32.6013 61616.9 3.35388 1.19621e+06 918274 ZonesAtSurface
1574.88 124.988 715.392 0 6 2 1 1.3929e+06 18.2144 118911 1.76364 2.1379e+06 1.3929e+06 ZonesAtSurface
1624.85 125.004 590.411 5 5 1 4 1.32305e+06 33.5846 130508 1.02212 4.59294e+06 1.32305e+06 ZonesAtSurface
1674.87 124.996 465.488 4 0 1 7 648172 40.0396 93043.3 1.06156 6.88766e+06 648172 ZonesAtSurface
1724.92 125.003 490.479 7 0 1 7 989588 19.3949 144329 1.10372 4.10047e+06 989588 ZonesAtSurface
1774.98 124.996 465.503 5 0 1 8 749307 22.0095 61398.2 1.06432 4.95303e+06 749307 ZonesAtSurface
1825.02 125.008 540.443 7 0 1 7 1.47753e+06 19.6684 96314.7 1.01496 5.34772e+06 1.47753e+06 ZonesAtSurface
1875.09 125.012 565.408 5 0 1 7 619561 38.1618 143915 1.03058 4.94274e+06 619561 ZonesAtSurface
1925.13 125.019 640.329 3 0 2 6 1.02207e+06 42.4586 118344 1.06827 4.56396e+06 1.02207e+06 ZonesAtSurface
1975.21 125.013 615.376 0 0 1 7 1.29616e+06 41.9397 59021.6 1.03509 5.48359e+06 1.29616e+06 ZonesAtSurface
2025.34 125 378.172 5 0 1 11 1.21108e+06 25.9235 106454 1.08114 6.38924e+06 1.21108e+06 ZonesAtSurface
2075.34 124.985 178.371 1 0 1 13 814958 40.5582 68991.2 1.04141 1.14223e+07 814958 ZonesAtSurface
2125.33 124.981 78.4404 1 0 1 13 721453 18.7023 82483.3 1.00895 7.39843e+06 721453 ZonesAtSurface
2175.34 124.98 28.4831 0 0 1 12 925910 40.2908 129619 2.26635 9.72467e+06 925910 ZonesAtSurface
2225.31 124.982 -21.4861 0 0 1 11 995106 21.3396 109994 1.40182 7.91678e+06 995106 ZonesAtSurface
2275.31 124.987 -21.4553 6 0 1 9 1.0856e+06 44.9438 69932.7 1.66399 8.44064e+06 1.0856e+06 ZonesAtSurface
2325.31 124.991 -21.4329 34 0 1 7 1.34105e+06 23.8598 72963.5 1.41978 4.74903e+06 1.34105e+06 ZonesAtSurface
2375.27 124.994 -21.4007 55 0 1 5 1.18997e+06 38.2766 56371.5 2.40443 4.34308e+06 1.18997e+06 ZonesAtSurface
2425.23 124.998 -21.3982 82 0 1 3 666313 35.5285 111044 2.43058 3.38349e+06 666313 ZonesAtSurface
2475.18 125.007 -21.3695 103 0 1 1 548182 22.0888 107084 2.65672 1.59816e+06 548182 ZonesAtSurface
2524.94 125.004 -1.28492 76 89 0 0 847389 42.2149 51752.2 2.69283 1.54849e+06 847389 ZonesAtSurface
2574.91 125.008 -11.318 113 6 1 1 913108 34.1114 83400.8 2.02058 2.41033e+06 913108 ZonesAtSurface
2624.87 125.002 -21.3231 60 0 1 2 986138 27.4609 98423.8 1.25472 3.87094e+06 986138 ZonesAtSurface
2674.82 124.997 -31.355 54 0 1 3 1.21597e+06 22.3046 123991 1.3249 3.94089e+06 1.21597e+06 ZonesAtSurface
2724.74 124.988 -41.4075 29 0 1 4 993028 21.2437 145688 1.0297 9.29467e+06 993028 ZonesAtSurface
2774.66 124.988 -1.41255 5 0 1 4 976547 42.7574 95022.4 1.4733 1.03397e+07 976547 ZonesAtSurface
2824.55 124.991 88.5721 10 0 1 3 1.04267e+06 27.9397 103387 1.06556 4.64061e+06 1.04267e+06 ZonesAtSurface
2874.51 124.991 178.557 9 0 1 2 539359 40.0448 75304.6 1.3211 3.28146e+06 539359 ZonesAtSurface
2924.52 124.991 218.547 1 0 2 2 688654 39.6594 78692.5 2.03794 3.20804e+06 688654 ZonesAtSurface
2974.52 124.99 208.524 7 0 1 3 1.35742e+06 24.1327 81354.4 1.26112 4.4028e+06 1.35742e+06 ZonesAtSurface
3024.53 124.988 198.495 1 0 1 4 1.41495e+06 21.0933 54979.7 1.30928 4.66942e+06 1.41495e+06 ZonesAtSurface
3074.53 124.989 238.472 3 0 1 4 1.1434e+06 37.782 100446 1.46893 5.35072e+06 1.1434e+06 ZonesAtSurface
3124.54 124.988 228.439 13 0 1 5 1.48734e+06 16.4301 75787 1.14645 4.75146e+06 1.48734e+06 ZonesAtSurface
3174.56 124.988 268.418 7 1 1 5 1.46018e+06 39.3911 60142.3 1.4378 4.94554e+06 1.46018e+06 ZonesAtSurface
3224.58 124.986 258.388 16 0 1 6 1.31761e+06 23.0982 67215.8 1.1141 4.39558e+06 1.31761e+06 ZonesAtSurface
3274.59 124.987 248.342 3 0 1 7 1.4274e+06 30.2204 120118 1.18277 6.84968e+06 1.4274e+06 ZonesAtSurface
3324.61 124.99 288.295 9 0 1 7 678591 24.7567 98255 1.04039 4.73806e+06 678591 ZonesAtSurface
3374.64 124.99 328.246 2 0 1 7 909046 43.5652 61663.7 1.09947 7.4261e+06 909046 ZonesAtSurface
3424.68 124.986 318.21 0 0 1 8 996711 39.6133 141060 1.34686 8.51641e+06 996711 ZonesAtSurface
3474.72 124.988 408.144 6 0 1 7 926707 28.6607 54231.2 1.00927 6.00479e+06 926707 ZonesAtSurface
3524.76 124.987 398.116 4 0 1 8 566391 24.4444 70538.1 1.0029 5.95562e+06 566391 ZonesAtSurface
3574.83 125.006 587.981 8 9 2 5 1.43944e+06 42.8061 64058.6 1.54997 4.22609e+06 1.43944e+06 ZonesAtSurface
3624.87 124.994 527.987 1 0 1 7 946535 40.3418 61805.6 1.11283 8.12064e+06 946535 ZonesAtSurface
3674.92 124.997 567.934 2 0 1 7 661173 33.9874 142658 1.00675 5.5026e+06 661173 ZonesAtSurface
3724.99 125.013 757.786 7 6 2 4 1.26195e+06 24.804 95589 1.09867 3.54195e+06 1.26195e+06 ZonesAtSurface
3775.03 125.005 707.811 2 0 1 5 1.10239e+06 40.5688 117093 1.24594 4.53693e+06 1.10239e+06 ZonesAtSurface
3825.08 124.999 667.85 1 0 1 5 1.2691e+06 18.4525 99553.8 1.04313 3.74714e+06 1.2691e+06 ZonesAtSurface
3875.15 124.994 577.929 6 0 1 6 1.14162e+06 38.2673 145460 1.0036 5.85365e+06 1.14162e+06 ZonesAtSurface
