x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
4725.53 74.9917 197.546 9 0 0 0 1.36128e+06 16.1008 116108 1.32288 3.18026e+06 1.36128e+06 ZonesAtSurface
4775.5 74.9912 157.559 6 0 0 0 1.18296e+06 16.3795 91564.4 1.24861 2.99051e+06 1.18296e+06 ZonesAtSurface
4825.45 74.9909 117.577 0 0 0 0 1.38938e+06 27.7702 98640.2 1.29831 4.34054e+06 1.38938e+06 ZonesAtSurface
4875.36 74.9902 77.5915 0 0 0 0 698598 17.9705 86576.3 1.36847 2.75701e+06 698598 ZonesAtSurface
4925.22 74.9922 37.5819 7 0 0 0 1.25132e+06 33.3238 73655.7 1.17367 7.98526e+06 1.25132e+06 ZonesAtSurface
74.9028 124.997 -33.9105 61 0 1 1 1.02862e+06 22.1944 145726 1.12975 6.47901e+06 1.02862e+06 ZonesAtSurface
124.818 124.996 -8.88544 50 3 1 1 569110 25.6613 89203 1.19066 1.71184e+06 569110 ZonesAtSurface
174.755 124.992 -33.9191 34 0 1 2 864511 43.0839 57585.2 1.05694 7.03796e+06 864511 ZonesAtSurface
224.692 124.993 -8.88384 45 2 1 2 800942 37.1169 121124 1.24847 2.69531e+06 800942 ZonesAtSurface
274.628 124.987 -33.9423 31 0 1 3 711663 30.7788 128356 1.03299 7.65307e+06 711663 ZonesAtSurface
324.558 124.988 -8.94825 25 0 1 3 1.18825e+06 35.5391 118850 1.08322 6.73559e+06 1.18825e+06 ZonesAtSurface
374.503 124.991 16.0363 1 0 1 3 1.36585e+06 24.727 145025 1.11532 8.92329e+06 1.36585e+06 ZonesAtSurface
424.423 124.99 91.0259 9 4 2 2 1.16787e+06 35.6089 146780 1.65639 3.569e+06 1.16787e+06 ZonesAtSurface
474.386 124.989 216.022 4 1 0 0 627132 40.1062 92736 1.45627 2.05324e+06 627132 ZonesAtSurface
524.386 124.985 241.012 0 0 0 0 876892 38.3664 50932.6 2.29626 2.02943e+06 876892 ZonesAtSurface
574.386 124.983 265.998 0 0 0 0 682432 36.325 115665 2.3726 1.79507e+06 682432 ZonesAtSurface
