x, y, z, sig1, sig2, sig3, S1-x, S1-y, S1-z, S2-x, S2-y, S2-z, S3-x, S3-y, S3-z, sxx, sxy, sxz, syy, syz, szz
3776.65 74.8807 156.973 -2.57402e+08 -2.57232e+08 -2.57018e+08 -0.264762 0.944517 0.194395 0.923605 0.190425 0.332705 0.277227 0.267631 -0.922778 -2.57227e+08 58527.6 -45969.7 -2.57368e+08 -84166.7 -2.57056e+08
3826.52 75.1532 117.029 -3.00777e+08 -3.00498e+08 -3.00315e+08 0.660489 0.743973 0.101286 -0.538032 0.374872 0.754979 0.523714 -0.55315 0.64788 -3.0057e+08 -190320 43408.1 -3.00597e+08 -86645.8 -3.00424e+08
3876.6 74.9134 77.0539 -2.90625e+08 -2.90308e+08 -2.9021e+08 -0.563797 0.707236 0.426557 -0.0644987 -0.552582 0.830959 0.823392 0.440979 0.35716 -2.90342e+08 162154 105163 -2.90448e+08 -80323.4 -2.90353e+08
3926.79 74.8026 36.9443 -2.25213e+08 -2.25021e+08 -2.24137e+08 -0.480809 0.86005 0.170694 0.826737 0.379815 0.415025 0.292111 0.340667 -0.893654 -2.2499e+08 167484 -214875 -2.25061e+08 -297249 -2.24321e+08
3976.76 74.8387 -2.86192 -2.87515e+08 -2.87071e+08 -2.87043e+08 0.296979 0.944431 -0.140905 0.933347 -0.318266 -0.166041 -0.20166 -0.0822028 -0.976 -2.87109e+08 -123966 24170.1 -2.87467e+08 61325.2 -2.87053e+08
4026.65 74.9414 -42.7719 -2.39525e+08 -2.39351e+08 -2.39126e+08 -0.349895 0.927976 -0.128195 0.905127 0.299612 -0.301625 -0.241492 -0.22157 -0.944769 -2.39359e+08 68521.3 43551.2 -2.3949e+08 67809.4 -2.39153e+08
4076.91 75.2463 -32.3154 -2.38524e+08 -2.382e+08 -2.37785e+08 0.29636 0.690653 -0.659673 -0.419876 0.714591 0.55952 0.857832 0.111162 0.501765 -2.37923e+08 -26866.3 241763 -2.38349e+08 170871 -2.38237e+08
4126.85 74.8877 -22.2165 -3.56113e+08 -3.55731e+08 -3.55538e+08 0.125291 0.223427 0.966635 0.949114 -0.310744 -0.0511951 0.288938 0.923861 -0.250991 -3.55721e+08 40622.2 -60246.2 -3.55586e+08 -127154 -3.56076e+08
4177.07 74.8358 -12.1969 -4.03261e+08 -4.03039e+08 -4.02772e+08 -0.0422542 -0.266221 0.962985 -0.207513 0.945166 0.252189 -0.977319 -0.189176 -0.0951815 -4.02784e+08 46892 33909.6 -4.03045e+08 61872 -4.03243e+08
4227.23 75.0685 -1.77263 -3.49419e+08 -3.4897e+08 -3.47935e+08 0.956628 0.201133 -0.210735 -0.178998 0.976564 0.119509 0.229833 -0.0766041 0.970211 -3.49326e+08 -104677 321214 -3.48982e+08 -57817.5 -3.48016e+08
